INFO 2024-01-06 04:43:03,913 autoreload 13972 15116 Watching for file changes with StatReloader
WARNING 2024-01-06 04:47:03,504 log 8916 13844 Not Found: /web/images/p6.jpg
WARNING 2024-01-06 04:47:03,504 basehttp 8916 13844 "GET /web/images/p6.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:03,511 log 8916 13844 Not Found: /web/images/b7.jpg
WARNING 2024-01-06 04:47:03,512 basehttp 8916 13844 "GET /web/images/b7.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:03,519 log 8916 13844 Not Found: /web/images/p7.jpg
WARNING 2024-01-06 04:47:03,520 basehttp 8916 13844 "GET /web/images/p7.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:03,526 log 8916 13844 Not Found: /web/images/p8.jpg
WARNING 2024-01-06 04:47:03,527 basehttp 8916 13844 "GET /web/images/p8.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:03,534 log 8916 13844 Not Found: /web/images/flogo.png
WARNING 2024-01-06 04:47:03,534 basehttp 8916 13844 "GET /web/images/flogo.png HTTP/1.1" 404 2512
WARNING 2024-01-06 04:47:04,902 log 8916 14348 Not Found: /web/images/b1.jpg
WARNING 2024-01-06 04:47:04,903 log 8916 13844 Not Found: /web/images/slide1.png
WARNING 2024-01-06 04:47:04,903 basehttp 8916 13844 "GET /web/images/slide1.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:47:04,905 log 8916 5436 Not Found: /web/images/list-icon.png
WARNING 2024-01-06 04:47:04,905 basehttp 8916 14348 "GET /web/images/b1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:04,906 log 8916 14636 Not Found: /web/images/p2.jpg
WARNING 2024-01-06 04:47:04,906 basehttp 8916 5436 "GET /web/images/list-icon.png HTTP/1.1" 404 2524
WARNING 2024-01-06 04:47:04,907 basehttp 8916 14636 "GET /web/images/p2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:04,967 log 8916 14636 Not Found: /favicon.ico
WARNING 2024-01-06 04:47:04,967 basehttp 8916 14636 "GET /favicon.ico HTTP/1.1" 404 2485
INFO 2024-01-06 04:56:12,215 autoreload 13376 14808 Watching for file changes with StatReloader
INFO 2024-01-06 04:56:13,552 basehttp 13376 9296 "GET / HTTP/1.1" 200 14709
WARNING 2024-01-06 04:56:13,597 log 13376 10364 Not Found: /web/js/move-top.js
WARNING 2024-01-06 04:56:13,598 log 13376 9296 Not Found: /web/css/bootstrap.css
WARNING 2024-01-06 04:56:13,599 log 13376 13976 Not Found: /web/js/jquery.min.js
WARNING 2024-01-06 04:56:13,600 log 13376 13104 Not Found: /web/css/style.css
WARNING 2024-01-06 04:56:13,600 basehttp 13376 10364 "GET /web/js/move-top.js HTTP/1.1" 404 2506
WARNING 2024-01-06 04:56:13,601 log 13376 14072 Not Found: /web/js/easing.js
WARNING 2024-01-06 04:56:13,601 basehttp 13376 9296 "GET /web/css/bootstrap.css HTTP/1.1" 404 2515
WARNING 2024-01-06 04:56:13,602 basehttp 13376 13976 "GET /web/js/jquery.min.js HTTP/1.1" 404 2512
WARNING 2024-01-06 04:56:13,602 basehttp 13376 13104 "GET /web/css/style.css HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,603 basehttp 13376 14072 "GET /web/js/easing.js HTTP/1.1" 404 2500
WARNING 2024-01-06 04:56:13,614 log 13376 9296 Not Found: /web/images/nav-icon.png
WARNING 2024-01-06 04:56:13,616 log 13376 13976 Not Found: /web/images/logo.png
WARNING 2024-01-06 04:56:13,617 basehttp 13376 9296 "GET /web/images/nav-icon.png HTTP/1.1" 404 2521
WARNING 2024-01-06 04:56:13,617 basehttp 13376 13976 "GET /web/images/logo.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:56:13,651 log 13376 13976 Not Found: /web/js/responsiveslides.min.js
WARNING 2024-01-06 04:56:13,654 log 13376 9296 Not Found: /web/images/slide1.png
WARNING 2024-01-06 04:56:13,655 log 13376 14072 Not Found: /web/images/slide2.png
WARNING 2024-01-06 04:56:13,655 basehttp 13376 13976 "GET /web/js/responsiveslides.min.js HTTP/1.1" 404 2542
WARNING 2024-01-06 04:56:13,657 log 13376 10364 Not Found: /web/images/obj1.png
WARNING 2024-01-06 04:56:13,658 log 13376 13104 Not Found: /web/images/img-w.jpg
WARNING 2024-01-06 04:56:13,660 basehttp 13376 9296 "GET /web/images/slide1.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:56:13,660 basehttp 13376 14072 "GET /web/images/slide2.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:56:13,662 log 13376 1648 Not Found: /web/images/list-icon.png
WARNING 2024-01-06 04:56:13,662 basehttp 13376 10364 "GET /web/images/obj1.png HTTP/1.1" 404 2509
